,Alpha,Cycle Probability
0,0.005,0.0188
1,0.01,0.0211
2,0.015,0.0215
3,0.02,0.0204
4,0.025,0.0197
5,0.030000000000000002,0.0211
6,0.034999999999999996,0.0212
7,0.04,0.018
8,0.045,0.0176
9,0.049999999999999996,0.0188
10,0.055,0.0177
11,0.06,0.0194
12,0.065,0.0183
13,0.07,0.0171
14,0.07500000000000001,0.0204
15,0.08,0.0185
16,0.085,0.017
17,0.09000000000000001,0.02
18,0.095,0.0171
19,0.1,0.013
20,0.10500000000000001,0.0185
21,0.11,0.0173
22,0.115,0.0178
23,0.12000000000000001,0.0157
24,0.125,0.017
25,0.13,0.019
26,0.135,0.0175
27,0.14,0.0157
28,0.14500000000000002,0.0153
29,0.15,0.0138
30,0.155,0.0151
31,0.16,0.0149
32,0.165,0.0154
33,0.17,0.0183
34,0.17500000000000002,0.0153
35,0.18000000000000002,0.0139
36,0.185,0.0133
37,0.19,0.0148
38,0.195,0.0158
39,0.2,0.0157
